Name,Street Address,USPS ZIP,lat,lng,outbound_duration,outbound_distance_meters,outbound_condition,outbound_status,return_duration,return_distance_meters,total_trip_duration(min),return_condition,return_status,drive_time(min),distance,drivetime_total(min),,Transit Duration / Auto Duration)
Mint Mark,1874 E Washington Ave,53704,43.0922541,-89.3608978,2059s/60=34.16,7107,ROUTE_EXISTS,{},2404s/60=43.40,10935,77.56,ROUTE_EXISTS,{},8,3.8m,16,,4.85
Lola's Hi/Lo Lounge,"617 N Sherman Ave,",53704,43.1077417,-89.3633626,1460s/60=24.33,5015,ROUTE_EXISTS,{},1543s/60=25.71,4908,50.44,ROUTE_EXISTS,{},8,3.1m,16,,3.15
Bar CoralliniI,"2004 Atwood Ave,",53704,43.0922713,-89.354486,3999s/60= 66.65,16582,ROUTE_EXISTS,{},2507s/60=41.78,7231,108.43,ROUTE_EXISTS,{},11,4.0m,22,,4.93
"Beef Butter BBQ 3001 N Sherman Ave, Madison, WI 53704",3001 N Sherman Ave,53704,43.1297103,-89.3627449,1301s/60=21.68,2565,ROUTE_EXISTS,{},1011s/60=16.85,3373,38.53,ROUTE_EXISTS,{},5,1.5m,10,,3.86
Bierock,2911 N Sherman Ave,53704,43.1285624,-89.3609795,1385s/60=23.08,2656,ROUTE_EXISTS,{},1085s/60=18.03,3468,41.11,ROUTE_EXISTS,{},5,1.5m,10,,4.11
Alchemy Cafe,1980 Atwood Ave,53704,43.0924417,-89.3553889,2485s/60=41.41,7545,ROUTE_EXISTS,{},2467s/60=41.11,7184,82.22,ROUTE_EXISTS,{},11,3.9m,22,,3.74
Tip Top Tavern,601 North St,53704,43.106971,-89.351084,2179s/60=36.31,5095,ROUTE_EXISTS,{},2371s/60=39.51,5527,75.82,ROUTE_EXISTS,{},7,2.8m,14,,5.42
Monsoon Siam,2326 Atwood Ave,53704,43.0937623,-89.3475295,4124s//60=68.73,17344,ROUTE_EXISTS,{},4869s/60=81.15,18100,149.88,ROUTE_EXISTS,{},12,4.4m,24,,6.23
Ogden's North Street Diner,560 North St,53704,43.1066971,-89.3514023,2144s/ 60=35.73,5066,ROUTE_EXISTS,{},2333s/60=38.88,5482,74.61,ROUTE_EXISTS,{},7,2.8m,14,,5.33
"Kingdom Restaurant, 1865 Northport Dr, Madison, WI 53704",1865 Northport Dr,53704,43.1289485,-89.3601812,1418s/60=23.63,2700,ROUTE_EXISTS,{},1093s/60=18.21,3276,41.84,ROUTE_EXISTS,{},5,1.6m,10,,4.18